received_date,document_comment
2019-11-13T05:00Z,"I am all for the replacement of lead service lines but I believe the EPA needs to mandate if the Utility or customer needs to pay for the replacement. 
Reading the rule revisions it seems like this will become a political hot topic for local governments and put the local governments and their citizens 
against one another.  
"
2019-11-13T05:00Z,"I agree on the Proposed Rule of the National Primary Drinking Water Regulations: Lead and Copper Rule Revision. I agree because water is vital for human consumptions. By strengthening procedures and requirements related to health protection and implementation of the existing Lead and Copper Rule, the EPA ensures humans are consuming safer water. Growing up we were told not to drink water out of the tap. My mother was getting paid $2 an hour and my dad was making most of the money for the household but was never home. This was the 1990s, and we could not afford a water filtration system nor bottled water on our own. Our life depended on drinking all the water we could at school, or public places. We were afraid that the tap water could potentially kill us. Sometimes, we would wait to get clean water from the food drive right next to our apartments. I think that having harsher regulations in regard to childrens public health is essential. Areas that are at risk for high lead and copper levels should be monitored and reduced. "
2019-11-15T05:00Z,"Water is one of the toughest things to regulate. Currently the 1974 Safe Drinking Water Act mandates standards for the quality of American drinking water. However, with water crises like the ongoing problem in Flint, Michigan, I believe it is imperative that the new proposed lead and copper rule revisions be passed. The water which was originally sourced from Detroit, was switched to the Flint River in an attempt to cut costs due to the vacancy of the car industry from the city. The new water source corroded the pipes and led to an increase in led concentrations as high as 6% above the average in children.
	In Lindsey J. Butlers The Flint, Michigan, Water Crisis: A Case Study in Regulatory Failure and Environmental Injustice she explains how the crisis came to be, but more importantly the social implications of such a disaster. Butler mentions that, the blatant disregard for the public health were, in part, the result of the racial and economic characteristics of Flint. This most definitely played a role in the crisis because a statement released by the National Association for the Advancement of Colored People on January 17th, 2016 read, We must hold accountable Michigan's public officials who chose to balance the city's budget at the expense of the health of the citizens they serve. Even as children were showing up sick in doctor's offices with rashes and cases of hair loss, state environmental officials and elected leaders refused to see the warning signs. Would more have been done, and at a much faster pace, if nearly 40% of Flint residents were not living below the poverty line? The answer is unequivocally yes.
	Butler concludes by stating how in the U.S. there are 6.1 million lead service lines which supply water to 15-22 million people. Some of these lines have been buried over a century ago. Water is being carried, sometimes for miles, through these corroding pipes and being used for drinking, cooking, and bathing. Butler calls for legislation to be improved, strengthened, and actively enforced.
	Stefan Hajkowicz and Kerry Collins describe the process used for making and scoring the overall performance of decision options against objectives in their review: A Review of Multiple Criteria Analysis for Water Resource Planning and Management. Multiple Criteria Analysis (MCA) use a range of equations to take different measurements in different units and convert them into a weight and create a ranking of options. Because water management and planning is an extremely convoluted process, MCA is a great tool to use as a decision support tool in due to the fact that outcomes of decisions are often intangible. The authors write how MCA, has also been shown to improve the auditability, transparency and analytic rigour of water management decisions.
	It is critical that changes be made to the National Primary Drinking Water Regulation for lead and copper. The current regulations are not nearly rigorous enough as crises like Flint are not a one-off occurrence and will only happen more frequently if nothing is done. Furthermore, there needs to be an increase in the use of Multiple Criteria Analysis for water management systems, to ensure the supply of clean, usable water to systems to citizens, regardless of their socioeconomic standings. To not employ these revisions would be an unnecessary tragedy signifying a true disconnect between the American government and the people it is supposed to serve.






Works Cited
Butler, L. J., Scammell, M. K., & Benson, E. B. (2016). The Flint, Michigan, water crisis: a case study in regulatory failure and environmental injustice.Environmental Justice,9(4), 93-97.

Hajkowicz, S., & Collins, K. (2007). A review of multiple criteria analysis for water resource planning and management.Water resources management,21(9), 1553-1566.

Laidlaw, M., Filippelli, G., Sadler, R., Gonzales, C., Ball, A., & Mielke, H. (2016). Childrens blood lead seasonality in flint, Michigan (USA), and soil-sourced lead hazard risks.International journal of environmental research and public health,13(4), 358."
2019-11-16T05:00Z,"We support the new rule on Lead and Copper, especially for the municipalities that have lead supply and distribution lines. However, the rules also impact many rural schools that have well water and our other schools that have municipal supplied water. 

Thus plans must be made to replace all school buildings built before 1992 and supply federal government funds to the schools.  This is going to drive up local taxes for every resident in the US, especially in the cities where old buildings are still utilized to school our elementary students. Every school building built before 1992 and some up to 1995 construction has lead solder, which was utilized by every plumbing contractor during that time period to install the domestic water systems. The requirement of schools to do testing is going to reveal high lead levels, especially in stagnant distal sites or taps is also going to raise school budgets and thus further increase taxes for the residents of those communities. This is going to be an economic burden to local communities in both large cities and rural communities that many are fighting to provide quality education to our students and also which many are fighting current fiscal disaster. Thus federal funds will have to be supplied to every school district to pay for the testing, which ultimately will require severe tax increases across the board for every US citizen.  I offer the following discussion items that must be thought about with this rule:  

1) Since water is the universal solvent it will leach lead solder and copper into the water during the stagnation time waiting for sampling. This will drive lead levels above the 10 ppb proposed standard for action because the older schools have older  distribution lines with lead solder. 
2) Many schools have older fixtures because the schools have not been remodeled recently. These fixtures most do not have significant levels of lead but most are not lead free. Thus the waiting times are going to cause the schools to replace more taps. 
3) The longer hold times before testing the tap will also increase the lead leaching. The previous 12 hour prior flush of the tap before testing was a good compromise and more realistic hold time before testing and was a better representation of the water quality. Extending the hold times to unlimited length is going to make the taps fail in these older buildings.
4) Rural school buildings who have well water, most being non-transient non-community systems, will also fall under these guidelines and thus also be further impacted because many are doing their own lead and copper testing now and they will fail more often, thus exposing them to further violations from the State EPA's which are responsible for enforcing the laws.       
5) The test protocols to achieve lower levels are not presently available. Lower detection limits are at 2 ppb by most analyses with a significant potential error. The lowering to the 10 ppb limit really does not allow for any error in the testing and for taps that are on the border of passing. What data does the EPA have to say at what level lead is a issue with health. Has medical testing been done on drinking water at 10 ppb to see if it impacts health? 

The consequences of the new law needs to be provided to the american people so they can understand how the new rule is going to impact the local economics for their communities.  I ask that the EPA review the above items and think about the mechanical issues involved with replacing almost every school building in america. 

John J. Farmerie
Cyrus Rice Water Consultant, Inc
Executive Consultant
1200 4th Ave 
Coraopolis, PA 15108
412-269-2468
    
     "
2019-11-16T05:00Z,"I strongly support the National Primary Drinking Water Regulations: Proposed Lead and Copper Rule Revisions, which was formulated by the U.S. Environmental Protection Agency. I truly believe that this policy can enhance every individuals standard of living. Lead and copper are detrimental chemical elements. Young children can be particularly susceptible to the tragic effects of these toxic elements. Consuming a high level of lead and copper can seriously harm their brain development. As a consequence, reducing the concentrations of these metals in water is of utmost importance. This policy establishes strict guidelines pertaining to water testing. This is exceedingly crucial. By implementing this regulation, the U.S. Environmental Protection Agency can help the public gain more access to clean and safe water. This regulation will further improve public health and lead society to become more sustainable. 
"
2019-11-18T05:00Z,"To Whom It May Concern,

     I am very concerned about the proposed rule revision to the Lead and Copper Rule. The proposed rule revision would decrease this lead service line replacement rate to just 3% annually, which is insufficient. This drop in the pipe replacement rate would extend the life of lead pipes by approximately 20 years.

     Given the many public health crises in recent history resulting from issues around lead in drinking water due in part to existing lead pipe infrastructure, this is not a good idea. The events in Washington, DC in the early 2000s and most notably in Flint, Michigan beginning in 2014 have showed us that in addition to having proper oversight regarding water disinfection and water source changes, lead service line replacement is of the utmost importance.

     In order to ensure superior health conditions for ALL U.S. citizens, we must prioritize lead service line replacement nationwide. The replacement rate should remain at 7%. Peoples lives are at stake.

Thank You,

Danielle Watkins 
"
2019-11-18T05:00Z,"I believe that this proposed rule by the EPA to revise the NPDWR for stronger protection from lead and copper exposure in drinking water is very important and crucial for public health and well-being. There is still a lot of data out there that shows the dangers of low-level lead exposure and it's adverse health effects on humans, and while some of us have the luxury of getting safe drinking water those in rural areas or poorer cities still, to this day, get lead and copper exposed drinking water. This is unacceptable, as clean water is a basic human right and is totally attainable for the masses, yet the government slacks on this issue. This rule will strengthen existing regulations in the LCR, and with new requirements to test water for lead in communities as well as educating the public, I believe that clean water is only a few steps away. I urge the government to make this proposed rule a reality in order to avoid more unfortunate situations caused by unsafe and undrinkable water in the future."
2019-11-19T05:00Z,"The dangers of lead and copper are very real to me as a resident of Chicago, Illinois. The recent crisis with Flint's lead poisoning stretched to my high school which caused many of my high school's water fountains to be shut off. I'm not saying that this effect is why I think that regulation of lead and copper is so important, but more so because if it this crisis was able to stretch all the way to Chicago from Flint, Michigan, then the parties that lived within miles of the crisis probably had an extremely rough time. I think that it's really important not to just implement this rule, but also raise consumer awareness and public education of the issue because regulation is always just regulation. It can promote positive behaviors and demote negative ones, but they may still very well occur. People need to be able to distinguish and notice issues with their water from the get-go in order to keep their communities safe.

I'm a strong advocate for this rule and hope that everything goes well!"
2019-11-19T05:00Z,"EPA should require all potable water plumbing appurtenances including backflow prevention assemblies and devices to be properly labeled (Lead Free) on the product, not the container or box that it was packaged. This change will help reduce non lead free plumbing appurtenances from being installed and purchased by the general public and water related industry professionals. There are still big box retailers and plumbing supply houses all across the United States that offer for sale non lead free plumbing appurtenances. The general public often does not know the difference and will usually select the less expensive plumbing appurtenances that do not meet the lead free requirement. 

I would also encourage EPA to take this opportunity to require all backflow prevention related assemblies and devices to meet and be marked with the lead free designation. The backflow cross-connection control industry continues to see backflow prevention assemblies being installed in potable water applications using lead containing assemblies and devices. Examples of this include HBVB's, wet based fire line suppression system and landscape irrigation assemblies. It should not matter if the down stream utilization is intended for non-potable consumption. These backflow prevention assemblies and devices are connected to the potable water supply.

Thank You
 
Byron R. Hardin, CPM
2105 Luna Road Suite # 310 
Carrollton, Texas 75006
(972) 823-8800 Office #
(214) 212-4345 Cell #
bhardin@hactexas.com

Hardin & Associates Consulting, LLC
Innovative Solution for Optimal Results
web site: HACTexas.com
"
2019-11-19T05:00Z,I think all lead service lines should be removed. The problem is that the homeowner may not have the funds to do so.  Is there any chance of grant money for these people.  
